Agency,Component,Fiscal Year,<1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,401+ Days,Total
Export-Import Bank of the U.S.,Agency Overall,2024,77,7,3,1,0,0,0,0,0,0,0,0,0,88
Privacy and Civil Liberties Oversight Board,Agency Overall,2024,16,6,0,0,0,3,3,1,3,1,2,0,4,39
Defense Nuclear Facilities Safety Board,Agency Overall,2024,0,8,6,0,9,0,0,3,0,0,0,1,0,27
Farm Credit System Insurance Corporation,Agency Overall,2024,46,7,0,0,0,0,0,0,0,0,0,0,0,53
United States International Boundary and Water Commission,Agency Overall,2024,19,0,2,2,0,1,0,1,0,0,0,0,0,25
Office of Management and Budget,Agency Overall,2024,56,22,33,9,8,7,5,1,5,3,12,5,114,280
National Capital Planning Commission,Agency Overall,2024,23,14,1,0,0,0,0,0,0,0,0,0,0,38
Central Intelligence Agency,Agency Overall,2024,357,37,3,2,0,0,1,0,0,0,0,0,0,400
Merit Systems Protection Board,Agency Overall,2024,69,4,5,0,1,0,0,1,1,0,0,0,0,81
Council on Environmental Quality,Agency Overall,2024,36,39,6,7,6,3,3,2,2,0,1,1,3,109
Commodity Futures Trading Commission,Agency Overall,2024,155,0,0,0,0,0,0,0,0,0,0,0,0,155
National Indian Gaming Commission,Agency Overall,2024,53,11,6,0,0,0,0,0,0,0,0,0,0,70
United States African Development Foundation,Agency Overall,2024,0,0,0,0,5,1,0,0,1,0,0,0,0,7
Office of the United States Trade Representative,Agency Overall,2024,54,20,3,2,3,3,1,0,0,0,0,0,0,86
Social Security Administration,Agency Overall,2024,8463,2244,53,8,2,3,4,3,1,0,0,0,0,10781
Armed Forces Retirement Home,Agency Overall,2024,31,5,0,0,0,0,0,0,0,0,0,0,0,36
General Services Administration,Agency Overall,2024,541,149,76,58,56,51,60,33,26,34,71,21,18,1194
Department of the Interior,Agency Overall,2024,2130,516,242,164,101,64,60,57,42,45,184,121,467,4193
Peace Corps,Agency Overall,2024,104,2,1,0,1,2,1,0,0,1,1,6,8,127
Department of Agriculture,Agency Overall,2024,15486,1167,537,232,194,121,118,108,85,73,135,76,185,18517
U.S. Agency for Global Media,Agency Overall,2024,41,5,0,0,0,0,0,0,0,0,0,0,0,46
Federal Permitting Improvement Steering Council,Agency Overall,2024,35,7,3,0,0,0,0,0,0,0,0,0,0,45
U.S. Railroad Retirement Board,Agency Overall,2024,82,20,5,5,0,3,0,0,2,1,0,0,0,118
Federal Retirement Thrift Investment Board,Agency Overall,2024,15,25,15,9,6,4,3,0,0,1,3,1,0,82
U.S. International Development Finance Corporation,Agency Overall,2024,0,9,5,1,0,0,0,0,0,0,7,8,0,30
