Agency,Component,Fiscal Year,<1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,401+ Days,Total
Export-Import Bank of the U.S.,Agency Overall,2024,5,10,7,2,5,9,6,0,2,2,6,3,2,59
Privacy and Civil Liberties Oversight Board,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defense Nuclear Facilities Safety Board,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farm Credit System Insurance Corporation,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States International Boundary and Water Commission,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Management and Budget,Agency Overall,2024,71,8,35,4,4,14,3,2,4,1,2,1,46,195
National Capital Planning Commission,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Intelligence Agency,Agency Overall,2024,59,145,111,63,106,81,88,44,31,28,55,23,202,1036
Merit Systems Protection Board,Agency Overall,2024,7,3,4,6,2,6,4,5,4,1,3,5,9,59
Council on Environmental Quality,Agency Overall,2024,15,0,0,4,1,2,2,0,1,0,0,0,3,28
Commodity Futures Trading Commission,Agency Overall,2024,109,31,7,6,1,5,0,0,1,1,1,0,0,162
National Indian Gaming Commission,Agency Overall,2024,1,4,3,0,0,0,1,1,0,0,1,0,1,12
United States African Development Foundation,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of the United States Trade Representative,Agency Overall,2024,0,1,4,6,5,6,1,2,0,0,1,0,0,26
Social Security Administration,Agency Overall,2024,118,59,30,29,20,7,13,15,16,11,25,16,8,367
Armed Forces Retirement Home,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Services Administration,Agency Overall,2024,57,40,18,8,10,2,5,1,5,3,16,11,41,217
Department of the Interior,Agency Overall,2024,432,319,156,123,103,95,75,52,45,31,120,90,563,2204
Peace Corps,Agency Overall,2024,95,29,5,11,3,4,0,0,3,1,5,9,9,174
Department of Agriculture,Agency Overall,2024,422,200,167,118,92,73,61,54,30,30,110,57,251,1665
U.S. Agency for Global Media,Agency Overall,2024,85,27,10,6,2,3,1,1,0,2,2,0,1,140
Federal Permitting Improvement Steering Council,Agency Overall,2024,1,1,1,1,0,0,1,0,0,0,0,0,0,5
U.S. Railroad Retirement Board,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Retirement Thrift Investment Board,Agency Overall,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. International Development Finance Corporation,Agency Overall,2024,0,0,2,2,1,0,0,0,0,1,0,1,3,10
